event_id,asset_id,token_id,user_name,profile_img_url,address,config
245237235,18268890,23000321,artmaster42069,,,
245237234,18268745,23000183,artmaster42069,,,
245237233,18268752,23000193,artmaster42069,,,
245237232,23139960,6984,DrBurry,,,
245237231,18268800,23000235,artmaster42069,,,
245237230,18269053,23000452,artmaster42069,,,
245237229,18269024,23000430,artmaster42069,,,
245237227,16188983,3189,voxelmaster42069,,,
245237228,19477917,335960662447726199059512394806369306043983358940749529573068905783282892801,7CryptoBalls,,,
245237226,29075845,1442,MightyMaxy1,,,
245237225,23140514,7378,DrBurry,,,
245237224,17748925,5910,,,,
245237222,17749158,6080,,,,
245237221,23137544,5298,DrBurry,,,
245237220,16491286,3623,voxelmaster42069,,,
245237219,23136181,4437,DrBurry,,,
245237218,20636164,105,DrBurry,,,
245237216,15283033,1489,voxelmaster42069,,,
245237215,30329437,3312,RyMy,,,
245237214,17771242,13824,,,,
245237213,23131898,1997,DrBurry,,,
245237212,17725644,837,dogemaster42069,,,
245237211,30335839,53718396381365690155135383380772599356801491987545402022851102154070337519617,Wannik,,,
245237210,23438319,1027194722486925029699656604254821663009080914619475021175016666664020213761,MattressSwayze,,,
245237209,23138753,6179,DrBurry,,,
245237208,17754218,8085,dogemaster42069,,,
245237207,23316685,1792,,,,
245237206,2485153,235,voxelmaster42069,,,
245237205,23136216,4447,DrBurry,,,
245237204,17757736,10150,dogemaster42069,,,
245237203,17524962,8215,B6F6E7,,,
245237202,23134721,3384,DrBurry,,,
245237201,23135338,3816,DrBurry,,,
245237199,17769714,13373,dogemaster42069,,,
245237200,17431344,4454,voxelmaster42069,,,
245237198,23141953,8444,DrBurry,,,
245237197,17016454,4114,voxelmaster42069,,,
245237196,23137145,5099,DrBurry,,,
245237195,17773120,14704,dogemaster42069,,,
245237194,17758814,11035,dogemaster42069,,,
245237193,23135936,4260,DrBurry,,,
245237192,1309554,90,voxelmaster42069,,,
245237191,17760527,11589,dogemaster42069,,,
245237190,19545896,6522,,,,
245237189,17198143,3370,B6F6E7,,,
245237187,23143522,9785,DrBurry,,,
245237186,17752322,7652,dogemaster42069,,,
245237188,23984774,58810797982685925716444825023285472862628439254947085036115694704922789412865,BitParrots,,,
245237185,17526640,8588,squigmaster42069,,,
245237184,30335842,106549604324656969623540431306084153144665416591174154685492858777213228548097,RareConcurrencies,,,
245237183,17728702,2479,,,,
245237182,17751058,7366,dogemaster42069,,,
245237181,17263840,4273,B6F6E7,,,
245237180,17758768,11002,dogemaster42069,,,
245237179,17503821,6190,B6F6E7,,,
245237178,17174261,2503,squigmaster42069,,,
245237176,23325725,10239,,,,
245237175,17201056,3479,B6F6E7,,,
245237174,4186347,2936,voxelmaster42069,,,
245237173,23123874,1040,DrBurry,,,
245237172,23131304,1735,DrBurry,,,
245237171,26681516,78000636,fidenzamaster42069,,,
245237170,25540995,545,,,,
245237169,23133696,2831,DrBurry,,,
245237168,17767493,12854,,,,
245237167,2485202,545,voxelmaster42069,,,
245237166,16583551,3869,voxelmaster42069,,,
245237165,25604758,23701020366541490672517358800526051910803039980446114302153406668477831315457,Vertumne,,,
245237163,17527306,8908,B6F6E7,,,
