event_id,asset_id,token_id,approved_account,asset_bundle,auction_type,bid_amount,collection_slug,contract_address,created_date,custom_event_name,dev_fee_payment_event,dev_seller_fee_basis_points,duration,ending_price,event_type,is_private,owner_account,quantity,starting_price,total_price,listing_time,pull_start_date,pull_end_date
245228114,19464619,4623,,,,212000000000000000,wrapped-mooncatsrescue,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.673583,,,300.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228113,17772720,14407,,,,538000000000000000,hashmasks,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.561208,,,0.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228112,19464638,4624,,,,222100000000000020,wrapped-mooncatsrescue,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.549161,,,300.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228110,24930800,3771,,,,815100000000000000,meebits,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.500666,,,0.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228111,19464617,4622,,,,212000000000000000,wrapped-mooncatsrescue,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.515312,,,300.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228109,23135731,4112,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.445168,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228108,23138323,5879,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.417138,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228106,23132938,2457,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.323558,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228105,22702175,58,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.155133,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228104,30323934,108000268,,,,200000000000000000,divisions-by-michael-connolly,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.016441,,,750.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228103,19464671,4625,,,,181000000000000020,wrapped-mooncatsrescue,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.946273,,,300.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228102,23132741,2360,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.847481,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228101,21137426,14675,,,,130000000000000000,zed-run-official,,2021-07-02T23:54:20.837369,,,,,130000000000000000,bid_entered,,,1,130000000000000000,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228100,23140452,7333,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.760283,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228099,23138589,6092,,,,2163999999999999700,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.745475,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228098,23137729,5460,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.429057,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228097,23315976,13612,,,,815100000000000000,meebits,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.337896,,,0.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228096,30335617,110335561525952574228445171973868746266762066024299057185437308571476819968001,,,,,hippie-babies,,2021-07-02T23:54:20.282303,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228095,25604160,23701020366541490672517358800526051910803039980446114302153406615701273182209,,,dutch,,bitcoin-sign,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.182747,,,1000.0,,303247361851984750,created,False,,1,303247361851984750,,2021-07-02T23:52:39,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228094,23142774,9128,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.169979,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228093,23125939,1160,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:20.163297,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228092,23134079,2972,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.996352,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228091,23315376,17275,,,,815100000000000000,meebits,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.750398,,,0.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228090,29278529,1346,,,,527500000000000000,bored-ape-kennel-club,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.554303,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228089,30335616,56625375459326765080603581281686980446433224811705747467154842305001869541377,,,,,shibapup,,2021-07-02T23:54:19.538419,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228088,19067878,1977,,,dutch,,bastard-gan-punks-v2,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.383362,,,250.0,2559,199900000000000000,created,False,,1,199900000000000000,,2021-07-02T23:52:39,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228087,29831498,102242960013698920064144355078995693879139250092293099082225251610019443507201,,,dutch,,stayfocused,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.357162,,,500.0,,10000000000000000000,created,False,,1,10000000000000000000,,2021-07-02T23:52:37,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228086,22649369,58810797982685925716444825023285472862628439254947085036115694614762835935233,,,dutch,,bitparrots,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.331939,,,1000.0,,30000000000000000,created,False,,1,30000000000000000,,2021-07-02T23:52:37,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228085,25771288,10039,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.292087,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228084,24836167,2287,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.272978,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228083,22756746,882785,,,dutch,,rarible,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.221156,,,0.0,637654,100000000000000000,created,False,,1,100000000000000000,,2021-07-02T23:52:34,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228082,25665217,4326,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.178281,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228081,24903828,7418,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.140186,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228080,25132733,4947,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.111241,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228079,23126089,1188,,,,2401999999999999700,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.097519,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228078,24826608,1489,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.063114,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228077,24969793,9104,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:19.059745,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228076,25577950,8630,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.969408,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228075,24914392,7506,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.960959,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228074,24860315,1129,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.923382,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228072,24426793,487,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.912979,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228073,23141320,7959,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.917778,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228070,23139161,6495,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.878307,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228071,24824348,3360,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.903477,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228068,23133243,2614,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.823627,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228067,25213598,1679,,,,3530000000000000200,veefriends,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:18.821006,,,1000.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
